Sri Maruthi Enterprises,07947306299,4.8,116,"44-23-31 Dr No, Mazid Street, Railway New Colony, Visakhapatnam - 530016, Haragopal Public School-Railway New Colony",
M D Enterprises,07947221549,4.1,21,"Door No 44-27-7/2, Railway New Colony, Visakhapatnam - 530016, Opposite to Masjid-e-aqsa",
Sri Anjana Enterprises,07947307697,5.0,12,"Main Road, NH-16, Aganampudi, Visakhapatnam - 530046, Near Cancer Hospital",
Rayan Traders,07947392168,5.0,2,"No 24, Shivaji Nagar, Bangalore - 560051, Sultanji Gunta Road",
Shalom Recovery Service,+(91)-9947278729,3.5,2,"Shalom, Palachira, Varkala, Varkala - 695141, Near Manavalans",
Ayaan Traders,07947220126,4.3,8,"House No 1-4-554/32, Tajir Nagar, Bholakpur, Kavadiguda, Secunderabad, Secunderabad - 500003, Near Bilal Masjid",
Shakti Sales Corporation,+(91)-0832-2330820,4.1,131,"H Number 87, Bondbag Bethora, Bethora Bypass Road, Ponda, Goa - 403401, Near Hariyana Transport",
A G Enterprises,+(91)-9822783051,3.9,77,"Gate No 815, Kudalwadi, Chikhali, Pune - 411062, Pawar Wasti",
A K  Traders,+(91)-7400272755,3.8,6,"Shop No 5, Sanaullah Compound, Andheri East, Mumbai - 400072, Near Edden College",
South Indian Scrap Traders,+(91)-0484-3581019,4.0,45,"Palarivattom, Ernakulam - 682025, Opp Ponnurunni Juma Masjid",
SNA India Corporation,+(91)-9928077652,4.2,230,"Solanki Talkies Road, Bhilwara Ho, Bhilwara - 311001, Near Shastri Nagar, Near Solanki Vatika",
Ra Agency,07947288151,4.6,18,"PLOT NO  A/58, Kharvel Nagar, Bhubaneshwar - 751001",
Sara Scrap Traders,07947288249,4.9,7,"Sikharchandi Nagar Plot 807, Kiit Patia, Patia Gds, Bhubaneshwar - 751024, Near Nandankanan",
Mohsin Metal Scrap,07947256098,4.5,1,"Moudhapara Road, Raipur Ganj, Raipur-Chhattisgarh - 492009",
National Traders,07947265272,5.0,5,"Hno 44 Lane No.12, Banjara Hills Hyderabad, Banjara Hills, Hyderabad - 500034, Behind Omega Hospital",
Amdaar Steel Traders,07947288953,4.5,7,"Plot No 28, Hingna Road, Hingana Road, Nagpur - 440016, Near Vasudhara Dairy",
Bushra Traders,+(91)-8928838356,4.3,9,"Near Mata Mandir, Teka Naka, Nagpur - 440002, Near Baba Buddhaji Nagar Gurudwara",
R K Traders,07947199127,4.0,2,"8.4.550/101,Near Natraj Nagar, Madhapur, Hyderabad - 500081, Near Ag Colony,Nataraj Nagar",
HP Steels,07947291287,4.6,13,"Plot No 292, Kalmana Road, Netaji Nagar, Nagpur - 440035, Behind Satya Hotel",
BABA Steels,07947365608,5.0,1,"Shop No, Musheerabad, Hyderabad - 500020, Near Bu Stop",
